,0
733,"Телефон прожил менее суток: вечером купила, к полудню уже сдох. Совсем. За несколько часов использования выявились такие недостатки, как посредственная камера и очень глухой звук - собеседника в динамике слышно плохо. Большой и тяжелый."
734,"Купил сегодня колонки microlab и данный телефон с 4G ради одной цели: слушать интернет радио через компьютерные колонки по aux . И он не справился с этим. Оказывается  телефоны Lenovo замеряют сопротивление при подключении к разъёму 3.5 внейшего источника воспроизведения звука. При подключении наушников, звук воспроизводится через наушники, а при подключении колонок - музыка продолжает играть через динамик телефона. Я очень расстроен, пойду завтра пробовать сдать или обменять на другой марки."
735,"Купил 7 месяцев назад жалко потраченых денег, боковые кнопки заедают, приходится нажимать несколько раз, тормозит отклик долгий удалил почти все приложения зависает так что приходится вытаскивать батарею. Ужасный аппарат"
736,"Не советую покупать, слабая прошивка, тормозит постоянно, экран слабо чувствителен, еле отзыв написал!!!"
737,"Покупал в январе 2016 года, своих денег стоит, все работало нормально, единственное интернет работает нормально только с одной симкой в первом порте, вторая симка тормозит. Но это в принципе у всех телефонов. Камера плохо снимает при низкой освещенности, не взирая на регулировки. Падал неоднократно, разбивал защитной стекло, но он стойко продолжал работать. 20.12.2016 упал на заднюю крышку и все. В сервисе сказали что треснула материнская плата и ремонту не подлежит. А мог бы еще работать и работать. Большой плюс что все осталось на карте памяти, включая сохраненные контакты и все фото. Сейчас дилемма что купить. Такой же или все таки с более лучшими характеристиками."
738,"Телефон по функциям хороший. Но скачав пару приложений - для работы в интернете очень тормозит окна загружаются долго, Батарея ужас просто Вечером зарядила , утром уже 2% зарядки ..кошмар просто!..."
739,1
740,"Бренд Philips уважал . После пользования данным телефоном разочаровался. Началисть проблеммы по связи . Отдал в ремонт, перепрошили , через неделю включился пароль . отнес в ремонт. В ремонт советовали отключить пароль сим-карт и отключить пароль телефона. Хитрые. Отказался. Взяли на ремонт, держали 40 дней. В заключении указали, что заменили какие-то детали, перепрошили. Прошл месяц, опять та же песня. телефон большую часть был в ремонте. Достал меня этот чудо аппарат."
741,"самый ненадёжный,отвратительный телефон"
742,"пользуюсь им 2-3 года, были бы деньги купил бы кирпич, он и то получше бы был)"
743,"хороший дизайн ,но ужасный в использовании батарейка не держит ,при включении передачи данных не ловит связь ,если телефон отключился то после включения предложения пропадают или наоборот появляется куча одинаковых иконок ,приходится сбрасывать до заводских , по не обновляется как указано"
744,"Телефон хороший но батарея никакая, В день до трех подзарядок и то еле хватает."
745,Почитала отзывы и решила приобрести себе.
746,"Купил дочке, 9 лет. Полный отстой! Глючит с первого дня! Живёт своей жизнью. Крайне не советую."
747,"Глючный телефон, зависает,наушники не работают"
748,"Телефон не понравился,после разговора не положить трубку,темный экран,наверное глючит датчик приближения,нажимаеш кнопку разблокировать экран загорается примерно через сек десять,хоть настроено 0,перепрошить тоже ни как,телефон недавно произведен,вот и мучиюсь теперь"
749,Брал себе и супруге. При разговоре всегда как то умодряется поставить на удержание или выключить. Самопроизвольно блокирует подсветку при разговоре. Тонкое первое стекло. Упал с небольшой высоты плошмя. Экран рассыпался. И так оба тел не хватило на год
750,"Стремный телефон! Батарея тает на глазах, а"
751,"Не рекомендую. Телефон отработал ровно год и произошел программный сбой, не включается.  Как будто ждал истечения гарантии. Никто починить не может. Перепрошивке не поддается. Камера ниже среднего."
752,"Тормозит здорво,батарея плохая . Хватает на пол дня."
753,"Не довольна. Батарея очень быстро разряжается, качество фото ужасное, звук тоже ужасный. Есть помимо этого Асценд п6, ему уже почти 4 года, вот это вещь!"
754,"Купила телефон в декабре,ещё нет года,а уже виснет периодически,не заряжается,ставлю телефон заряжаться,а он сбрасывает зарядку до нуля,потом в выключенном состоянии заряжается,но очень медленно,за ночь зарядился всего на 80%....Незнаю что делать,я очень разочаровалась в телефоне..."
755,"Купили телефон в декабре 2016. Сразу всплыл ""косяк"" - теряет сеть и wi-fi (при этом показывает все антены). Лечится проблема перезагрузкой. Отдавал на ремонтпо гарантии два раза. Причинуне выявили, на третий раз поменяли аппарат на новый, такой же модели. Новый тоже ""глючит"" так же.
Покупка данного телефона - выкинутые деньги. К Huawei сложилось негативное отношение."
756,"Телефон неплохой за эту цену, но есть некоторые модели Престижео, которые выигрывают по характеристикам и, самое главное, они проверены в деле и редко подводят. Здесь не самый лучший аккумулятор, после 2 месяцев использования и установки нескольких программ в режиме с интернетом он держит несколько часов. С ним ношу внешний аккумулятор, без него никак. Экран кстати хороший, яркий, на свету все видно. Камера нормальная для такого бюджетника, без изысков. Телефон на любителя, некоторые особенности не позволяют назвать его хорошим и качественным выбором."
757,Ужасный телефон! У меня были китайские! Но этот все переплюнул!!!!
758,Пользуюсь месяц. Минусы аккумулятор. Вставил флешку. Чуть чуть подзабил его приложениями. Стал греться и зарядку не держит.
759,"Хороший аппарат и батарею долго держит, но через 5 месяцев на экране справа появилась на белом фоне яркая полоска. Отцветает наверное, вот не знаю что с дисплеем делать. В ремонт буду отдавать"
760,"В целом это лучший за эти деньги смарт. Дешевле только микромакс ,но там динамик  не на месте. Здесь удобный снизу и громкий. Дополнительная кнопка удобна для быстрого запуска нужно программы которую поставишь и можно 3."
761,"После месяца использования стал сильно зависать, сам перезагружаться когда ему захочется, приложения перестали работать. Батарею держит от силы день. Даже мой старенький смартфон Нокиа держал зарядку с теми же приложениями 3-4 дня. Камера очень слабая. В общем, не рекомендую к покупке."
762,"Купили дочке. Пользовались 3 дня, пришло обновление и бедненький телефон затупил-завис...Спасибо ""Эльдорадо"", без проблем вернули деньги."
763,"Очень неплохой бюджетный вариант на 5-м андроиде. Камера очень слабенькая, ну собственно ничего другого я за эти деньги и не ожидал."
764,"Купил, натерпелся, теперь хочу сдать этот телефон и вернуть свои деньги. С такими недостатками этот телефон максимум за 5т.р можно было бы продавать. За такой ценник можно намного лучше купить.
Проблемы есть и их производитель походу не торопится исправлять, прошивки выкладывает, которые просто нереально скачать по воздуху, из-за низкой скорости загрузки (примерно 1% в 2 мин при WiFi на 100 Мбит). Да к тому же без карты памяти ничего не сделашь!
Эта модель самая бракованная из всего наверное ассортимента телефонов Philips. И этим телефоном они испортили сеюбе репутацию!
Читайте на офф страничке группы в Вконтакте:
http://vk.com/topic-49711611_33048370?offset=0
и на 4pda:
http://4pda.ru/forum/index.php?showtopic=709585"
765,"Аппарат для людей без собсвенного мнения и с навязанным вкусом. Ценник  явно сильно завышен, ну не из золота же его делают..."
766,"Неплохой бюджетный аппарат,через 6 месяцев стал тупить,4G куда-то испорилось кое как работает Н+,вай фай ловит кое как,хорошо использовать как звонилку в остальном полный отстой"
767,Ходил два месяца. Сегодня выкинул. Телефон не реальный тормоз. Для того чтобы позвонить надо подождать 5-10 секунд. После перезагрузки не может найти сим-карты по 15 минут. Если отключить wi-fi то включить и подключиться к сети можно только после перезагрузки. Садится очень быстро. И в целом очень глючный телефон. К плюсам можно отнести прочное стекло. Жаль потраченных денег.
768,Просто нереально быстро садится заряд! За 3 часа активного пользования до нуля. С таким быстрым разрядом ещё не встречалась.
769,"Самый отвратный телефон из всех, что когда-то брала в руки. Купили ребенку-первокласснику, но через месяц отдали обратно, полтора месяца нам его диагностировали и выдали вердикт - приходите и меняйте.Зарядки полной хватает на час, постоянно зависает на всем - игры, интернет, просмотр видео. Качество фото ужасное, звук тоже. В общем, из плюсов только симпатичный дизайн. Все."
770,"Внешний вид красивый, но внутри ужасный. Виснет со страшной силой!!!Не рекомендую!!!"
771,"Из плюсов могу сказать что внешне телефон очень привлекательный, звук хороший, цена доступная. Но минусов больше, тормозит страшно, зависает, постоянно приходиться перезагружать. Приложения долго загружаются. Батарею не держит."
772,"Телефон не стоит этих денег. Батарея слабая, чувствительность плохая, тормозит,радио постоянно вылетает, скаченые приложения загружаются долго. Кроме дизайна, содранного с Htc,плюсов никаких."
773,"Ничего не могу сказать о смартфоне, внешний вид прекрасный, но оказался мертвым.Ни заряд не показывает, не включается. Жаль внешне оч. понравился."
774,"обалденный телефон, купили с сестрой (черный и белый) пару недель назад,заряда хватает на весь день, при условии, что я  активно использую соц.сети,а благодаря обновлениям на экране Blink Feed всегда в курсе последних событий в мире и в жизни моих друзей ))"
775,"Очень хороший телефон , мощный  , достойная цена , ну просто лучший в своей цене."
776,"Телефон для тех, кто хочет похвастаться перед друзьями. В нем нет ничего особенного."
777,"Максимально неудобная операционная система. Неудобство ее в основном от очень малого количества приложений. Андройд с Виндовсом уж явно побогаче в этом плане. Да и камеры получше есть. По мне так шляпа шляпная... Телефон должен быть телефоном. Хочешь нормальный фотик, купи себе зеркальный фотоаппарат. а количество памяти... 256 gb. Ну и на кой??? Понту ради?! С нынешними то облачными технологиями смысл...?! В общем, как и написано выше, телефон для людей с промытым рекламой мозгом..."
778,Типичное яблоко. Джобс вертится в гробу со скоростью света
779,"Долго металась между выбором honor и айфон 7plus, купила хонор, а брату на НГ подарила айфон. Айфон почти по всем характеористикам отстает, только камера хороша собой. Рада что выбрала не айфон"
780,Он сгорел
781,", весит груша нельзя скушать....
немогу уже дождаться"
782,разрешение 1920х1080  видимо будет и на 10м и на 20м айфоне
783,"Из минусов:
- кнопка Home
- остуствие джека
- iOS 10
- все тот же устаревший дизайн, как на шестых моделях
Из плюсов:
- все то, что появилось в 6S"
784,Ужаснее телефона не видела. Вообще не советую его покупать и данную марку тем более. Работает через раз. Зарядку держит два часа и садится.
785,"Просто отвратительный телефон!Это кошмар.Настолько долго думает,что терпения не хватает.Звук как из подземелья.Не реально поиграть не в одну игру,все глючит.Не советую никому!"
786,"Использую около месяца. в целом неплохой, но минусов в нем не мало."
787,Пользовался 1 день
788,"В данной ценовой категории Meizu смотрится куда менее интересно, чем те же Xiaome Redmi Mi5(s) и Huawei Honor 8. Уже 100 раз успел пожалеть о данной покупке"
789,"Смартфон с первого взгляда отличный, но при более близком общении с ним ,начинаешь понимать ,что с покупкой ошибся!"
790,"Телефон вполне, только скользкий и нет нормальных чехлов именно для него. Всё работает нормально. В ступор пока ввело наличие нано-симки. Надо идти менять симку."
791,"Плюсы: Тонкий 5,1 мм, дисплей 4,8 дюйма, легкий 98 грамм, аккумулятор 2000 мАч, стекло Gorilla3 с обоих сторон позволяет использовать без чехла, стойкий к падениям  и ударам."
792,"Заявленная батарея 4130 - абсолютная ложь, к сожалению. Держит сутки, это без серфинга, музыки, видео. Повелся на покупку (взамен Филлипса с батареей 5000, там реально несколько дней не заряжаешь) именно из-за вроде бы приличной по емкости батареи. Но, увы."
793,"Приобрёл для работы, измучился с ним, слабый процессор не даёт одновременно работать с двумя программами, постоянно вылетает. Камера фоткает с искажением в голубых оттенках, по аккумулятору нужно понимать что чисто китайские 4000 ампер не выдаёт, на два дня стабильной работы он Вас точно обеспечит. Для пенсионеров он точно подойдёт. (Ватсап есть, аккумулятор держит). Показалось что он что то тежеловат. Идеально лежит в руке, но при этом есть опасность что при падении в первую очередь пострадает экран, так как он слегка выпячивает дабы создать эффект безрамок. Задняя крышка очень мощная, при вскрытии лучше доверить опытному человеку, можно просто крепления угловые поломать. Считаю глупым в андроиде отключение виртуальной клавиатуры ( как отдельной программы) приводит к отсутствию вообще какой либо клавиатуры- задаюсь вопросом : где своя родная клава, а при отключении  всех остальных программ для стабильной работы, некоторые из них продолжают работу в спящем режиме. Зачем? Вывод: телефон годится!!! Но для отдельного круга потребителей."
794,"В течение месяца отказал микрофон,тач,камера,LTE, батареи не хватает и на полдня. На морозе не работает фокусировка камеры, и вообще заявленные 13 МП спорны реально снимки и до 8 не дотягивают. Не советую."
795,"Ужасный телефон.... долго думает, а как включишь интернет так всё!!!! до такой степени глючит что сил не каких нет... выносит мозги! камера ужа, фронтальная так я вообще молчу. Единственное что очень хорошо в этом это только его память (класс). Не покупайте лучше!"
796,очень плохой телефон! глючит. а когда включаешь интернет вообще час грузит и тормозит! а если вы купили его он недельку хороший а потом начинает себя показывать тормозит ждёт и т.д.! короче не покупайте
797,"Никому не советую. Очень сильно глючит, зависает. заряжать приходится по несколько раз за день. Камера - никакая, звук тихий. Если вам дороги ваши нервы, то ни в коем случае не покупайте!"
798,"Телефон ужасен, ни одного плюса,сплошной минус.глючит,сам разблокируется,система постоянно вылетает,связь постоянно пропадает, и в нём походу пол ядра,а не заявленных четыре.А батарея это вообще ужас, на 3 часа хватает,кошмар!!!Вообщем не советую брать."
799,"Ужасы.Купила ребенку в подарок,в результате так и не смогли им пользоваться даже для звонков,не говоря уж об играх.Тормозит,глючит,кнопки не работают,невозможно разблокировать,включить телефон. Ребенок расстроился,телефон внешне очень понравился,но им невозможно было пользоваться.Через несколько дней сдали обратно."
800,"Ужасный телефон, никому не советую покупать. При включении экран пошел белыми полосами, далее соц сети подвисают. Блокировка живет своей жизнью. Только купила, 1 день пользования показал, что телефон стоит менять. Завтра верну обратно."
801,"Не понравился, очень слабая батарея, висит. Не ставится мелодия на контакт, постоянно выдает ошибки. Буду менять."
802,"Ужас, взяли ребенку висит, глючит ,блокировка сама по себе живет.Сдали в ремонт,ждем возвращения чуда ((((("
803,"Купила телефон,на второй день начал глючить, зависать.Камера слабоватая.Понравился дизайн и цвет."
804,для оочень не требовательных пользователей
805,Не берите его
806,"Устройство продается с вирусами (последнее обновление проблемы не решает), причем еще эти вирусы оформляют платные подписки и со счета начинают стремительно снимать деньги. Батарею держит два часа, а с 15% выключается через две минуты, видео в 720p страшно тормозит. Не покупайте это чудо, а если купили, то лучше выкинуть в окно, поскольку судя по отзывам, тех. поддержка и сервисный центр не помогут (да и как они помогут, если изначально все так сделано)!"
807,Адаптивная регулировка яркости экрана не работает. 2 sim работают только по переменно.
808,Все норм. За эти деньги. Кроме динамиков
809,Те же проблемы что и у всех хрипит динамик а порой вообще не слышно собеседника Через месяц выскачила ошибка Андроид  когда гаснет экран при разговоре или спящий режим то больше экран не показывает на кнопки не реагирует И запустить его можно только вытащив батарейку! Сброс на заводские настройки помогает все работает Но стоит добавить какие не будь файлы (видео музыка а так же приложения из Плей Маркера!) Все повторяеться Зачем такой смартфон?! Не в инет выйти не медиофайлы добавить даже просто поговорить ( хрип динамика не позволяет) только гарнитура или громкая связь! За стиль ставлю 5 А за работу этого смартфона твердую 2
810,"Купил телефон в первый же день перестал работать динамик : хрипит , пропадает звук , жужит , буду менять"
811,"Купил в ноябре, взамен TM 3204R, который жив до сих пор. Из отзывов я знал о проблемах со слуховым динамиком, но подумал, что пронесет.
Не пронесло. Звук стал вырубаться с первого же звонка, а когда звук был, то ощущение что собеседник разговаривает с ведром на голове и треть слов не понятна, усиливало желание сдать аппарат обратно. В сервис texet  я решил не ходить, ведь поставят такой же динамик и понимание собеседника не улучшится.  Я наплевал на гарантию и отдал телефон в другой ремонт.
Результат такой: причина пропадания звука повреждение платы.  Это заводской дефект и заложен в телефон при проектировании . Происходит повреждение вероятнее всего при сборке аппарата на заводе.  Помогает пропаданию звука динамик, который сам по себе плохого качества, так еще и соединение с платой у него не проводное.
Аппарат мне вылечили. Проблем со звуком теперь нет.
Меню звонков и контактов исполнено очень странно нет привычной истории звонков (все, входящие, исходящие, непринятые) вместо этого: недавние, быстрый набор (где отображаются недавние звонки) и контакты без значка поиска, который надо поискать.
В контактах значка поиска нет, тоже надо поискать, а когда найдете надо понажимать на курсор чтоб активировать клавиатуру. Чтоб сделать звонок через контакты надо произвести 7 действий в TM3204R  я обходился четырьмя.
Интернет только 3G. TM3204R работал в Н+
В общем если запали на сей аппарат рассчитывайте сразу на его ремонт и странности разработчиков ПО."
812,"Проблемы с динамиком могут быть вызваны попаданием влаги в динамик, в таком случае нужно просто встряхнуть телефон, чтобы вода вышла и дальше всё будет ОК."
813,В целом оценка 3. Пришлось вернуть обратно! Очень жаль
814,"Купил телефон несколько дней назад на замену кнопочному texet, тоже защищенному. В итоге, непонятная ситуация с динамиком - иногда он хрипит, иногда еле слышно собеседника, иногда вообще не слышно, всё это только вечером. С утра и днем всё отлично. Ещё раз так сделает - сдам обратно. По дизайну, конечно, он шикарный,   и по защищенности вроде неплох пишут, но  прежде всего телефон нужен для связи, а тут как раз косяки. Может, просто бракованный оказался.  Очень жаль, мне texet старый прям очень понравился."
815,"Купил телефон несколько дней назад на замену кнопочному texet, тоже защищенному. В итоге, непонятная ситуация с динамиком - иногда он хрипит, иногда еле слышно собеседника, иногда вообще не слышно, всё это только вечером. С утра и днем всё отлично. Ещё раз так сделает - сдам обратно. По дизайну, конечно, он шикарный,   и по защищенности вроде неплох пишут, но  прежде всего телефон нужен для связи, а тут как раз косяки. Очень жаль, мне texet старый прям очень понравился."
816,"За год пользования данным телефоном могу сказать одно - не берите, не тратьте  деньги впустую. Сначала стал отключаться при 30% заряде, а в конце и при 99%."
817,"пользовался более полугода, вызывной звук еле слышно, уровень заряда работает некорректно, после зарядки два дня показывает равномерно со 100% где-то до 80-ти, потом начинает резко падать, и на 60-ти падает до 1% и отключается"
818,"Телефон тупенький. Камерой не пользуюсь - смысла нет, фотографии никакие получаются. С двумя симкартами нормально не работает. Будильник периодически не срабатывает. Виснет иногда. Не все карты памяти видит. Громкость звонка не очень, но пойдет. Батарея как у всех, на день хватает бывает. Приложения долго открываются, особенно ВК и вацап, Яндекс карты вообще не дождешься. Меню простое. Пользуюсь телефоном две недели."
819,"Покупал в подарок девушке , хороший дизайн,удобно держать в руке. Но через год полсе обноления .телефон вошел в bootloop (вечная перезагрузка). Отдали в сервис центр: откат до заводской прошивки и recovery не помог. Ремонт дорогостоящий"
820,"Достоинства: 1. 2 гигабайта оперативки. для плавной работы приложений норм. 2. 32 Гб внутренней памяти. для закачки оффлайновых карт и всей моей музыки маловато. в результате добавил карту микросд на 128 Гб. 3. корпус не тяжелый и монолитно собранный. люфтов и скрипов не заметил. все щели минимальные и пыль в них не накапливается. 4. обновления скачиваются регулярно. пока шильных прог не было. есть функция выборочного отключения обновлений в интерфейсе лаунчера. 5. цена. Недостатки: маленький выбор цветов корпуса. изначально думал серебристый купить, но его у этой модели в природе не существует."
821,"за 10 дней использования у меня уже созрел отзыв, чем мне нравится смартфон. 1. удобный корпус. он небольшой и компактный – при разговоре по нему нет ощущения лопаты. 2. понятный лаунчер. захотел поменять количество значков на рабочих столах, отключить обновления для приложений и настроить цветовую температуру экрана – вперед и с песней. 3. фронтальная камера со вспышкой. у нее есть несколько режимов, подогнанных именно для трансляций. похвалю эту камеру за высокую светочувствительность – при плохом освещении фотографии не зернистые. 4. Громкий звук и без всяких его настроек. За что не похвалю смартфон: яркость дисплея нужно регулировать самому, потому что стоковые настройки очень темные."
822,"Я сдал данный аппарат, поскольку он не соответствует заявленным требованиям, снимите наклеянную пленку и все поймете, дисплей пластик нет олефобного покрытия, тормозит страшно, распознавание по лицу работает очень медленно, короче очень сырой аппарат, видать спешили выпустить к началу ЧМ по футболу и совсем забыли протестировать, не советую очень греется, тормоза и подлагивания очень сильные ! Присмотритесь лучше к конкурентам!"
823,"Перед покупкой прочитал много отзывов, но всё же рискнул взять по акции за 17 тысяч. Опасался, что батарея будет слабая (многие пишут, что там часто встречается брак), но напрасно. Видимо, мне повезло. Очень стильный аппарат, хорошая камера и просто отличный звук (хотя это черта всех аппаратов от Sony сейчас, примерно вот такого я и ожидал). Очень жаль, что всего одна sim-карта, я думал таких телефонов сейчас уже и не осталось."
824,"Диагональ экрана, в дюймах: 5
Количество ядер процессора: 8
Оперативная память, в гигабайтах: 3 
Встроенная память, в гигабайтах: 16
Разрешение основной камеры, в мегапикселях: 21.5 дизайн красвивый.  При пользовании начал глючить , работает сам по себе."
825,"Меняю на другой. Плохо ловил связь, плохо слышно собеседника и собеседник меня."
826,Разъем на наушники перестал работать ни прошло даже месяца
827,"Никогда не писал отзывов, но тут просто беда.
Я огорчен, по началу было обрадовался покупке, но потом, что называется, пошли косяк за косяком,
телефон и месяца нормально не проработал, в один прекрасный момент просто сам выключился и все, через пару дней только смог его оживить путем хорошей ""тряски"".
Итак, Texet tm-5009, x-force:
Заявленные характеристики не соответствуют реальности.
Батарея очень слабая, быстро заряжается, но еще быстрее разряжается, после полной 100%-зарядки, заряд буквально на глазах начинает таять, даже в режиме ожидания, я уж не говорю про время пользования.
При первой установке батареи, задняя крышка стала не плотно закрываться по нижнему краю, так все время и ""поджималась""
Основная камера плохая, фото ужасные, сэлфи-камера и то лучше снимки делает.
Слабый звук у звонка вызовов и у проигрывателя музыки.
6-й Android ничего особенного в работу не привнес,
-нет изначально отображения процентов заряда батареи на плашке вверху, нужно опускать иконку, а так, чтобы включить лезть в специальные настройки и то после включения, появляются маааленькие цифры на самом значке батареи
-подключение к компу тоже какое-то ""кривое"", на телефоне нет никаких уведомлений, предупреждений, запросов (как это обычно у других аппаратов происходит)"
828,"Устройство можно использовать только как 2-й рабочий, взял только из-за возможности записывать звонки."
829,"Это не мобильный телефон, а стационарный. Так как все время стоит на зарядке. Дома, в машине, на работе. Без зарядки отключится через пол часа в режиме ожидания."
830,"Не рекомендую. СМС приходят две из пяти, телефонную книгу, журнал вызовов практически постоянно не показывает (задолбалась ходить с блокнотиком со списком телефонных номеров). Заряд держит 5-7 часов. Камера ужасная. Вот  только с интернетом проблем не было."
831,"Телефон , мягко говоря плохой. Будильник звонит через раз, смс приходят не понятно как и когда. Если его серфирить в инете, заряд умирает мгновенно . Только звонки и все. Остальное в этом телефоне кошмар ( будильник, смс, интернет )"
832,"Полный хлам. Зачем на такого тормоза ставить андроид 6? Жутко тормозит. Будильник звонит через раз. При включении передачи данных можно использовать вместо обогревателя, правда ненадолго. Батарея на 2-е суток максимум (в эконом режиме)."
833,Зарядку держет на 12 часов а через пол года на 2 часа
834,"Руки тому оторвать,кто додумался запихнуть в эту помойку андроид 6,батарея дохнет даже при включенном режиме полета"
